articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
3-9-2014_PS,figure,2.675,mean,NA,MATCH,TRUE
3-9-2014_PS,figure,2.675,se,NA,MATCH,TRUE
3-9-2014_PS,figure,3.4925,mean,NA,MATCH,TRUE
3-9-2014_PS,figure,3.4925,se,NA,MATCH,TRUE
3-9-2014_PS,figure,3.293181818181818,mean,NA,MATCH,TRUE
3-9-2014_PS,figure,3.293181818181818,se,NA,MATCH,TRUE
3-9-2014_PS,figure,3.12,mean,NA,MATCH,TRUE
3-9-2014_PS,figure,3.12,se,NA,MATCH,TRUE
3-9-2014_PS,78,78,df,0,MATCH,NA
3-9-2014_PS,19.12,19.67,F,2.8765690376569073,MINOR_ERROR,NA
3-9-2014_PS,0.001,0,p,100,MAJOR_ERROR,NA
3-9-2014_PS,0.2,0.2,pes,0,MATCH,NA
3-9-2014_PS,78,78,df,0,MATCH,NA
3-9-2014_PS,4.04,4,t,0.990099009900991,MINOR_ERROR,NA
3-9-2014_PS,0.001,0,p,100,MAJOR_ERROR,NA
3-9-2014_PS,78,78,df,0,MATCH,NA
3-9-2014_PS,-3.32,-3.43,t,3.313253012048203,MINOR_ERROR,NA
3-9-2014_PS,0.001,0.001,p,0,MATCH,NA
